id,Sex,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
750083,1.2,24,159.0,54.0,17.0,96.0,40.5
750084,0.0,54,194.0,98.0,21.0,102.0,40.6
750085,0.0,45,179.0,79.0,10.0,92.0,39.7
750086,0.0,33,156.0,60.0,2.0,91.0,38.2
750087,1.2,45,186.0,83.0,9.0,94.0,40.0
750088,0.0,52,186.0,85.0,6.0,87.0,39.3
750089,1.2,73,184.0,87.0,14.0,95.0,40.3
750090,0.0,35,169.0,65.0,5.0,89.0,39.3
750091,1.2,37,179.0,81.0,22.0,104.0,40.3
750092,0.0,45,149.0,55.0,11.0,92.0,39.9
750093,0.0,28,157.0,54.0,14.0,95.0,40.1
750094,1.2,20,154.0,54.0,3.0,85.0,38.1
750095,1.2,27,168.0,64.0,4.0,86.0,39.0
750096,1.2,36,188.0,88.0,6.0,91.0,39.8
750097,0.0,23,180.0,73.0,9.0,93.0,39.5
750098,0.0,39,189.0,99.0,25.0,114.0,41.0
750099,0.0,54,191.0,96.0,7.0,88.0,39.7
750100,1.2,48,151.0,54.0,5.0,87.0,39.4
750101,1.2,67,159.0,60.0,21.0,102.0,40.8
750102,1.2,37,172.0,71.0,16.0,96.0,40.0
750103,1.2,47,160.0,61.0,13.0,90.0,40.1
750104,0.0,35,184.0,80.0,11.0,97.0,39.9
750105,1.2,50,181.0,88.0,2.0,81.0,38.1
750106,0.0,48,180.0,74.0,7.0,88.0,39.9
750107,1.2,77,173.0,73.0,20.0,107.0,40.7
750108,1.2,31,191.0,90.0,1.0,78.0,37.6
750109,1.2,50,173.0,67.0,9.0,90.0,39.7
750110,1.2,42,177.0,74.0,15.0,100.0,40.1
750111,1.2,54,177.0,83.0,8.0,87.0,39.5
750112,0.0,35,151.0,54.0,8.0,89.0,39.7
750113,1.2,40,187.0,86.0,22.0,86.0,40.3
750114,1.2,30,196.0,96.0,26.0,106.0,40.8
750115,0.0,55,169.0,72.0,15.0,90.0,40.4
750116,0.0,32,187.0,94.0,13.0,94.0,40.3
750117,1.2,62,156.0,58.0,21.0,100.0,40.3
750118,0.0,32,174.0,70.0,23.0,103.0,40.7
750119,1.2,48,172.0,63.0,2.0,90.0,38.4
750120,0.0,26,153.0,52.0,24.0,102.0,40.5
750121,1.2,21,198.0,99.0,21.0,105.0,40.5
750122,1.2,62,183.0,87.0,28.0,115.0,40.8
750123,0.0,46,180.0,74.0,13.0,97.0,40.0
750124,1.2,60,187.0,90.0,3.0,90.0,38.3
750125,0.0,29,188.0,92.0,26.0,103.0,40.7
750126,1.2,64,169.0,67.0,19.0,95.0,40.3
750127,0.0,60,174.0,75.0,16.0,103.0,40.0
750128,1.2,37,182.0,82.0,20.0,101.0,40.8
750129,1.2,31,188.0,94.0,10.0,87.0,39.7
750130,1.2,24,173.0,71.0,22.0,103.0,40.5
750131,1.2,35,167.0,66.0,29.0,110.0,40.7
750132,0.0,46,156.0,59.0,25.0,106.0,40.5
750133,1.2,21,185.0,85.0,22.0,103.0,40.9
750134,1.2,64,182.0,91.0,14.0,87.0,39.8
750135,1.2,37,174.0,72.0,21.0,95.0,40.6
750136,0.0,30,186.0,81.0,5.0,88.0,38.9
750137,1.2,59,162.0,65.0,18.0,107.0,40.3
750138,0.0,20,161.0,60.0,13.0,88.0,39.8
750139,0.0,29,180.0,75.0,14.0,101.0,40.4
750140,0.0,20,172.0,71.0,5.0,87.0,39.6
750141,0.0,24,162.0,59.0,4.0,88.0,38.9
750142,1.2,27,169.0,70.0,16.0,95.0,40.3
750143,1.2,20,176.0,78.0,3.0,89.0,38.6
750144,1.2,62,186.0,85.0,14.0,99.0,40.0
750145,0.0,32,153.0,53.0,7.0,92.0,39.8
750146,0.0,50,165.0,64.0,2.0,83.0,37.8
750147,0.0,22,170.0,66.0,2.0,75.0,38.1
750148,0.0,68,185.0,88.0,12.0,91.0,40.1
750149,0.0,22,196.0,92.0,19.0,94.0,40.7
750150,1.2,43,183.0,82.0,2.0,83.0,37.9
750151,1.2,35,168.0,63.0,13.0,99.0,40.3
750152,0.0,22,173.0,68.0,3.0,83.0,38.8
750153,1.2,37,182.0,72.0,12.0,93.0,40.0
750154,0.0,20,166.0,66.0,28.0,108.0,40.6
750155,1.2,29,179.0,83.0,7.0,93.0,39.4
750156,1.2,47,174.0,75.0,27.0,98.0,40.8
750157,0.0,26,190.0,79.0,13.0,104.0,40.4
750158,0.0,52,161.0,62.0,12.0,82.0,40.2
750159,1.2,30,181.0,81.0,8.0,85.0,39.6
750160,0.0,32,167.0,62.0,6.0,85.0,39.1
750161,0.0,20,179.0,77.0,9.0,90.0,39.8
750162,0.0,25,172.0,63.0,23.0,96.0,40.6
750163,1.2,25,162.0,64.0,15.0,96.0,39.8
750164,0.0,42,194.0,98.0,14.0,96.0,40.2
750165,1.2,21,192.0,90.0,25.0,98.0,40.7
750166,0.0,34,171.0,72.0,8.0,95.0,39.6
750167,0.0,64,181.0,88.0,30.0,107.0,41.1
750168,1.2,44,177.0,72.0,7.0,87.0,39.2
750169,0.0,48,158.0,54.0,11.0,91.0,40.0
750170,0.0,62,177.0,79.0,8.0,90.0,39.7
750171,0.0,30,187.0,85.0,21.0,107.0,40.5
750172,1.2,28,181.0,74.0,23.0,104.0,40.8
750173,1.2,26,164.0,61.0,8.0,89.0,39.5
750174,0.0,36,179.0,84.0,13.0,89.0,39.5
750175,1.2,55,166.0,65.0,24.0,92.0,40.6
750176,1.2,25,187.0,87.0,27.0,104.0,40.7
750177,0.0,33,187.0,87.0,14.0,91.0,40.3
750178,1.2,30,158.0,56.0,12.0,93.0,40.0
750179,1.2,45,192.0,90.0,26.0,108.0,41.0
750180,1.2,40,172.0,75.0,7.0,91.0,39.5
750181,1.2,56,154.0,56.0,10.0,86.0,39.7
750182,0.0,45,174.0,77.0,15.0,92.0,40.4
750183,0.0,48,160.0,59.0,22.0,97.0,40.3
750184,0.0,32,155.0,54.0,14.0,93.0,40.5
750185,0.0,44,199.0,91.0,16.0,94.0,40.6
750186,0.0,22,152.0,51.0,28.0,102.0,40.7
750187,0.0,24,153.0,50.0,5.0,81.0,39.4
750188,0.0,26,163.0,59.0,7.0,81.0,39.6
750189,1.2,48,175.0,75.0,21.0,106.0,40.6
750190,1.2,21,174.0,74.0,13.0,98.0,40.1
750191,0.0,26,163.0,66.0,17.0,90.0,40.1
750192,1.2,21,165.0,67.0,23.0,96.0,40.8
750193,0.0,22,177.0,75.0,14.0,96.0,40.5
750194,1.2,45,187.0,86.0,20.0,103.0,40.3
750195,1.2,36,193.0,97.0,23.0,105.0,40.7
750196,0.0,23,168.0,67.0,16.0,98.0,40.3
750197,0.0,28,193.0,88.0,11.0,99.0,40.0
750198,1.2,41,159.0,56.0,25.0,100.0,40.7
750199,1.2,28,173.0,72.0,7.0,91.0,39.6
750200,1.2,51,193.0,94.0,14.0,96.0,40.1
750201,0.0,61,190.0,99.0,30.0,109.0,40.9
750202,1.2,66,159.0,58.0,7.0,86.0,39.6
750203,1.2,69,192.0,93.0,29.0,113.0,40.8
750204,0.0,25,185.0,79.0,7.0,86.0,39.3
750205,0.0,30,164.0,57.0,30.0,114.0,40.6
750206,0.0,30,164.0,64.0,19.0,95.0,40.7
750207,0.0,50,174.0,76.0,11.0,96.0,39.8
750208,0.0,41,161.0,61.0,4.0,81.0,38.8
750209,1.2,48,187.0,90.0,15.0,94.0,40.4
750210,0.0,41,184.0,81.0,27.0,112.0,40.7
750211,0.0,40,162.0,60.0,14.0,91.0,40.4
750212,0.0,56,163.0,66.0,5.0,87.0,39.3
750213,1.2,59,186.0,78.0,4.0,87.0,38.7
750214,0.0,54,157.0,58.0,17.0,95.0,40.4
750215,1.2,56,178.0,81.0,7.0,86.0,39.6
750216,1.2,24,182.0,86.0,11.0,92.0,40.3
750217,0.0,38,156.0,55.0,6.0,83.0,39.0
750218,1.2,50,155.0,52.0,23.0,102.0,40.4
750219,0.0,31,157.0,56.0,7.0,87.0,39.5
750220,0.0,30,167.0,69.0,11.0,91.0,39.9
750221,1.2,34,161.0,62.0,13.0,99.0,40.2
750222,0.0,63,194.0,105.0,14.0,93.0,40.3
750223,0.0,59,185.0,89.0,2.0,79.0,38.2
750224,1.2,54,170.0,67.0,14.0,94.0,40.4
750225,1.2,38,169.0,68.0,21.0,101.0,40.6
750226,0.0,40,187.0,88.0,4.0,88.0,39.0
750227,0.0,64,163.0,63.0,14.0,99.0,40.0
750228,0.0,50,191.0,91.0,6.0,88.0,39.6
750229,1.2,44,174.0,76.0,26.0,112.0,40.8
750230,0.0,69,192.0,95.0,2.0,76.0,38.2
750231,1.2,49,157.0,59.0,2.0,79.0,38.4
750232,1.2,36,159.0,62.0,22.0,106.0,40.7
750233,1.2,60,160.0,60.0,13.0,95.0,40.0
750234,0.0,45,202.0,111.0,3.0,91.0,38.6
750235,0.0,24,170.0,67.0,25.0,108.0,40.7
750236,1.2,26,194.0,91.0,5.0,88.0,39.0
750237,0.0,40,151.0,54.0,18.0,90.0,40.1
750238,1.2,20,162.0,70.0,14.0,99.0,40.1
750239,0.0,62,172.0,75.0,19.0,97.0,40.4
750240,0.0,64,162.0,58.0,2.0,79.0,38.3
750241,0.0,24,168.0,67.0,7.0,93.0,39.1
750242,0.0,60,156.0,56.0,6.0,83.0,39.2
750243,1.2,68,172.0,72.0,5.0,82.0,38.8
750244,0.0,46,174.0,73.0,26.0,104.0,40.6
750245,0.0,39,166.0,63.0,20.0,93.0,40.4
750246,0.0,40,189.0,91.0,14.0,103.0,40.0
750247,0.0,74,188.0,96.0,8.0,87.0,39.6
750248,0.0,29,182.0,85.0,13.0,91.0,40.2
750249,0.0,21,184.0,72.0,17.0,102.0,40.1
750250,1.2,74,193.0,98.0,8.0,86.0,39.6
750251,1.2,61,176.0,87.0,18.0,94.0,40.2
750252,1.2,55,174.0,74.0,25.0,107.0,40.6
750253,1.2,28,188.0,92.0,3.0,89.0,38.6
750254,0.0,26,159.0,63.0,6.0,80.0,39.3
750255,0.0,21,172.0,71.0,5.0,90.0,38.6
750256,0.0,29,187.0,87.0,24.0,98.0,40.7
750257,0.0,61,174.0,73.0,21.0,104.0,40.9
750258,1.2,37,161.0,62.0,9.0,81.0,39.8
750259,1.2,34,190.0,97.0,26.0,115.0,40.7
750260,0.0,34,157.0,60.0,25.0,102.0,40.5
750261,0.0,66,163.0,73.0,8.0,87.0,39.5
750262,0.0,50,193.0,97.0,4.0,87.0,39.0
750263,1.2,76,184.0,84.0,7.0,88.0,39.1
750264,0.0,50,179.0,83.0,26.0,108.0,40.7
750265,1.2,20,164.0,61.0,11.0,91.0,40.1
750266,1.2,32,186.0,85.0,8.0,87.0,39.6
750267,1.2,38,175.0,79.0,4.0,78.0,38.9
750268,1.2,28,170.0,67.0,18.0,93.0,40.3
750269,0.0,23,171.0,61.0,3.0,85.0,38.5
750270,0.0,54,195.0,87.0,17.0,106.0,39.9
750271,1.2,60,169.0,70.0,10.0,98.0,39.7
750272,0.0,31,164.0,67.0,6.0,84.0,39.2
750273,0.0,47,189.0,89.0,27.0,108.0,40.8
750274,1.2,54,160.0,56.0,24.0,105.0,40.6
750275,0.0,77,169.0,72.0,29.0,118.0,41.0
750276,1.2,56,179.0,74.0,5.0,89.0,39.1
750277,0.0,25,176.0,69.0,28.0,111.0,40.9
750278,0.0,38,169.0,65.0,13.0,94.0,40.3
750279,0.0,31,184.0,78.0,19.0,98.0,40.3
750280,1.2,52,152.0,54.0,14.0,101.0,40.1
750281,1.2,57,151.0,52.0,7.0,90.0,39.1
750282,0.0,63,163.0,60.0,14.0,105.0,40.2
750283,1.2,21,182.0,77.0,18.0,104.0,40.7
750284,1.2,21,192.0,95.0,14.0,93.0,40.1
750285,1.2,33,156.0,59.0,12.0,91.0,40.0
750286,1.2,24,160.0,59.0,18.0,96.0,40.3
750287,1.2,55,163.0,62.0,19.0,94.0,40.6
750288,0.0,26,178.0,81.0,4.0,85.0,38.6
750289,1.2,40,160.0,59.0,25.0,103.0,40.6
750290,0.0,47,166.0,66.0,7.0,93.0,39.5
750291,1.2,37,191.0,88.0,16.0,100.0,40.4
750292,1.2,51,161.0,61.0,13.0,95.0,40.1
750293,1.2,37,184.0,88.0,10.0,95.0,39.6
750294,1.2,25,182.0,85.0,26.0,112.0,40.9
750295,1.2,63,176.0,85.0,12.0,95.0,40.5
750296,1.2,61,182.0,92.0,30.0,110.0,41.2
750297,1.2,44,149.0,54.0,21.0,92.0,40.7
750298,1.2,43,181.0,72.0,16.0,91.0,40.5
750299,0.0,51,183.0,75.0,16.0,96.0,40.3
750300,1.2,34,177.0,78.0,20.0,106.0,40.7
750301,0.0,32,154.0,53.0,22.0,101.0,40.5
750302,0.0,50,174.0,73.0,24.0,100.0,40.8
750303,0.0,25,166.0,68.0,11.0,82.0,39.8
750304,1.2,44,166.0,63.0,22.0,101.0,40.6
750305,1.2,34,162.0,60.0,23.0,99.0,40.8
750306,0.0,26,196.0,101.0,14.0,85.0,40.1
750307,0.0,30,168.0,65.0,18.0,99.0,40.2
750308,0.0,51,182.0,87.0,29.0,112.0,41.0
750309,0.0,61,187.0,92.0,10.0,88.0,39.8
750310,1.2,35,167.0,66.0,26.0,103.0,40.7
750311,0.0,22,157.0,61.0,4.0,84.0,38.9
750312,0.0,64,159.0,59.0,18.0,109.0,40.5
750313,1.2,41,176.0,76.0,20.0,100.0,40.7
750314,0.0,20,155.0,58.0,26.0,103.0,40.7
750315,1.2,46,163.0,61.0,29.0,109.0,40.8
750316,1.2,64,197.0,102.0,8.0,83.0,39.4
750317,0.0,31,165.0,66.0,6.0,83.0,39.2
750318,1.2,39,178.0,74.0,26.0,105.0,40.9
750319,1.2,21,181.0,79.0,21.0,103.0,40.6
750320,1.2,21,167.0,66.0,11.0,88.0,40.0
750321,1.2,50,157.0,59.0,8.0,89.0,39.7
750322,1.2,63,153.0,60.0,14.0,105.0,40.2
750323,0.0,32,160.0,56.0,24.0,105.0,40.5
750324,1.2,29,176.0,66.0,1.0,76.0,37.8
750325,0.0,20,192.0,92.0,13.0,91.0,40.2
750326,1.2,35,176.0,85.0,15.0,93.0,40.0
750327,1.2,52,149.0,54.0,12.0,86.0,40.1
750328,0.0,32,159.0,62.0,17.0,96.0,40.5
750329,0.0,24,153.0,54.0,10.0,82.0,39.9
750330,1.2,23,159.0,55.0,20.0,101.0,40.5
750331,0.0,37,152.0,56.0,19.0,96.0,40.3
750332,0.0,26,161.0,63.0,26.0,107.0,40.6
750333,0.0,31,169.0,68.0,16.0,106.0,40.5
750334,1.2,72,166.0,67.0,4.0,82.0,38.7
750335,1.2,21,180.0,78.0,29.0,111.0,40.7
750336,1.2,59,163.0,63.0,2.0,75.0,38.0
750337,1.2,23,178.0,82.0,28.0,107.0,41.0
750338,1.2,41,170.0,70.0,26.0,104.0,40.9
750339,0.0,20,162.0,57.0,24.0,100.0,40.8
750340,0.0,61,160.0,58.0,20.0,92.0,40.6
750341,1.2,23,162.0,66.0,24.0,102.0,40.8
750342,1.2,20,179.0,81.0,16.0,100.0,40.3
750343,1.2,43,177.0,81.0,27.0,112.0,40.9
750344,1.2,54,166.0,64.0,3.0,87.0,38.6
750345,1.2,60,194.0,98.0,2.0,81.0,38.1
750346,0.0,54,187.0,87.0,10.0,95.0,39.7
750347,0.0,64,187.0,91.0,17.0,89.0,40.2
750348,0.0,42,160.0,60.0,17.0,94.0,40.2
750349,0.0,51,168.0,72.0,14.0,102.0,40.1
750350,0.0,74,190.0,94.0,2.0,80.0,38.3
750351,0.0,40,167.0,62.0,11.0,95.0,39.7
750352,1.2,40,174.0,75.0,14.0,96.0,40.3
750353,0.0,32,190.0,92.0,17.0,100.0,40.7
750354,1.2,42,157.0,60.0,7.0,87.0,39.5
750355,0.0,59,151.0,55.0,10.0,88.0,39.6
750356,1.2,26,153.0,55.0,12.0,84.0,39.9
750357,1.2,24,193.0,98.0,4.0,91.0,38.9
750358,1.2,23,154.0,54.0,16.0,90.0,39.9
750359,0.0,65,179.0,77.0,28.0,110.0,40.7
750360,0.0,75,156.0,59.0,21.0,102.0,40.5
750361,0.0,53,152.0,55.0,10.0,92.0,40.0
750362,1.2,38,153.0,56.0,25.0,99.0,40.7
750363,1.2,37,174.0,69.0,9.0,90.0,39.6
750364,0.0,22,174.0,71.0,13.0,90.0,40.3
750365,0.0,39,187.0,86.0,27.0,111.0,41.0
750366,1.2,42,184.0,77.0,17.0,99.0,40.1
750367,1.2,64,184.0,92.0,14.0,95.0,40.5
750368,0.0,36,180.0,86.0,20.0,105.0,40.2
750369,0.0,35,159.0,64.0,14.0,90.0,40.1
750370,0.0,39,161.0,60.0,27.0,104.0,40.4
750371,0.0,54,162.0,56.0,17.0,90.0,40.5
750372,0.0,37,162.0,59.0,17.0,96.0,40.6
750373,0.0,21,184.0,84.0,23.0,102.0,40.7
750374,0.0,21,169.0,65.0,22.0,98.0,40.8
750375,1.2,44,157.0,58.0,28.0,106.0,41.0
750376,0.0,45,166.0,66.0,7.0,86.0,39.8
750377,1.2,48,187.0,92.0,14.0,96.0,40.1
750378,0.0,36,164.0,62.0,3.0,80.0,38.6
750379,0.0,32,158.0,57.0,29.0,109.0,40.9
750380,0.0,40,167.0,64.0,22.0,100.0,40.8
750381,1.2,27,191.0,89.0,28.0,113.0,40.9
750382,0.0,38,172.0,71.0,18.0,100.0,40.3
750383,0.0,32,167.0,60.0,2.0,82.0,38.2
750384,0.0,55,151.0,55.0,6.0,111.0,39.1
750385,0.0,25,193.0,93.0,22.0,98.0,40.8
750386,1.2,59,174.0,73.0,10.0,95.0,39.8
750387,1.2,45,174.0,79.0,23.0,105.0,40.7
750388,0.0,32,183.0,87.0,26.0,110.0,40.7
750389,1.2,30,160.0,60.0,28.0,106.0,40.6
750390,1.2,21,178.0,75.0,4.0,81.0,38.6
750391,0.0,22,164.0,65.0,21.0,102.0,40.7
750392,0.0,54,201.0,108.0,28.0,111.0,40.8
750393,1.2,69,170.0,68.0,18.0,103.0,40.4
750394,0.0,22,196.0,102.0,28.0,104.0,40.6
750395,1.2,45,173.0,65.0,18.0,91.0,40.1
750396,0.0,40,191.0,95.0,12.0,95.0,40.4
750397,0.0,28,159.0,59.0,11.0,86.0,39.8
750398,0.0,22,172.0,70.0,16.0,88.0,39.9
750399,1.2,23,174.0,66.0,24.0,103.0,40.4
750400,1.2,44,161.0,60.0,6.0,91.0,39.7
750401,1.2,32,172.0,61.0,2.0,90.0,38.3
750402,1.2,20,177.0,81.0,28.0,111.0,41.0
750403,1.2,40,187.0,83.0,14.0,99.0,40.3
750404,0.0,43,171.0,75.0,16.0,97.0,40.3
750405,1.2,20,177.0,81.0,6.0,76.0,39.0
750406,0.0,45,151.0,60.0,25.0,102.0,40.7
750407,1.2,74,171.0,73.0,8.0,93.0,39.5
750408,1.2,55,159.0,60.0,3.0,78.0,38.5
750409,0.0,62,170.0,74.0,21.0,101.0,40.7
750410,1.2,50,193.0,91.0,19.0,96.0,40.7
750411,0.0,39,168.0,66.0,30.0,113.0,41.1
750412,0.0,35,164.0,61.0,3.0,79.0,38.7
750413,0.0,24,188.0,93.0,22.0,99.0,40.3
750414,1.2,43,158.0,61.0,27.0,108.0,40.9
750415,1.2,20,191.0,92.0,27.0,109.0,41.2
750416,1.2,50,179.0,87.0,27.0,104.0,40.9
750417,1.2,26,171.0,75.0,17.0,101.0,40.2
750418,0.0,33,176.0,78.0,7.0,86.0,39.5
750419,0.0,51,197.0,98.0,11.0,92.0,39.8
750420,0.0,26,185.0,78.0,4.0,80.0,38.9
750421,1.2,31,164.0,66.0,13.0,104.0,40.1
750422,0.0,26,159.0,62.0,20.0,102.0,40.4
750423,0.0,30,164.0,65.0,5.0,88.0,39.5
750424,0.0,61,186.0,86.0,8.0,90.0,39.7
750425,1.2,45,175.0,82.0,12.0,93.0,39.9
750426,0.0,50,179.0,81.0,17.0,99.0,40.1
750427,0.0,35,175.0,80.0,24.0,104.0,40.6
750428,0.0,59,161.0,62.0,10.0,95.0,39.9
750429,0.0,30,168.0,69.0,1.0,76.0,38.0
750430,1.2,37,174.0,74.0,17.0,91.0,40.3
750431,0.0,31,175.0,71.0,3.0,83.0,39.1
750432,1.2,24,189.0,89.0,25.0,105.0,40.8
750433,1.2,50,167.0,75.0,13.0,89.0,39.9
750434,1.2,30,181.0,80.0,12.0,101.0,40.1
750435,0.0,40,169.0,66.0,18.0,98.0,40.5
750436,1.2,45,190.0,97.0,16.0,100.0,40.3
750437,1.2,21,146.0,51.0,5.0,79.0,38.9
750438,0.0,79,163.0,60.0,7.0,90.0,39.6
750439,0.0,32,179.0,77.0,15.0,90.0,40.0
750440,0.0,61,157.0,59.0,14.0,101.0,40.2
750441,1.2,50,165.0,64.0,21.0,110.0,40.7
750442,0.0,51,167.0,62.0,25.0,101.0,40.6
750443,1.2,53,192.0,93.0,13.0,93.0,40.1
750444,0.0,47,195.0,98.0,9.0,89.0,39.7
750445,1.2,26,180.0,74.0,1.0,84.0,38.0
750446,0.0,65,158.0,61.0,24.0,102.0,40.7
750447,0.0,56,162.0,66.0,23.0,106.0,40.6
750448,1.2,38,193.0,98.0,8.0,82.0,40.0
750449,0.0,71,182.0,90.0,26.0,111.0,40.8
750450,1.2,55,171.0,66.0,18.0,101.0,40.4
750451,1.2,40,180.0,79.0,27.0,104.0,40.6
750452,1.2,42,171.0,66.0,20.0,93.0,40.4
750453,1.2,44,160.0,59.0,24.0,101.0,40.8
750454,1.2,20,168.0,61.0,15.0,92.0,40.4
750455,1.2,29,192.0,96.0,18.0,98.0,40.5
750456,1.2,45,174.0,69.0,25.0,106.0,41.0
750457,1.2,38,193.0,101.0,4.0,85.0,39.3
750458,0.0,67,191.0,93.0,26.0,102.0,40.7
750459,1.2,32,158.0,54.0,4.0,78.0,39.2
750460,0.0,21,184.0,88.0,13.0,89.0,39.9
750461,0.0,37,149.0,49.0,22.0,99.0,40.1
750462,0.0,34,165.0,61.0,22.0,103.0,40.3
750463,1.2,28,202.0,103.0,25.0,103.0,40.9
750464,1.2,40,193.0,91.0,6.0,85.0,39.1
750465,0.0,63,175.0,75.0,11.0,90.0,39.7
750466,0.0,34,186.0,89.0,26.0,104.0,40.8
750467,1.2,54,165.0,67.0,17.0,95.0,40.4
750468,0.0,41,171.0,71.0,26.0,114.0,41.0
750469,0.0,21,190.0,87.0,23.0,109.0,40.5
750470,0.0,32,161.0,54.0,24.0,106.0,40.9
750471,0.0,26,189.0,87.0,24.0,99.0,40.7
750472,0.0,38,174.0,72.0,7.0,98.0,39.8
750473,0.0,43,170.0,64.0,20.0,97.0,40.5
750474,1.2,51,176.0,69.0,12.0,91.0,40.3
750475,1.2,20,180.0,79.0,18.0,99.0,40.3
750476,1.2,29,196.0,92.0,27.0,102.0,40.7
750477,1.2,43,197.0,96.0,3.0,85.0,38.9
750478,1.2,79,153.0,61.0,15.0,97.0,40.0
750479,0.0,30,167.0,68.0,4.0,85.0,38.8
