id,Sex,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,imc,Sex_encoded
750125,male,29,188.0,92.0,26.0,103.0,40.7,26.029877772747852,87.53476116586509
750126,female,64,169.0,67.0,19.0,95.0,40.3,23.458562375266975,89.03368342867219
750127,male,60,174.0,75.0,16.0,103.0,40.0,24.772096710265558,87.53476116586509
750128,male,37,182.0,82.0,20.0,101.0,40.8,24.755464315903875,89.03368342867219
750129,male,31,188.0,94.0,10.0,87.0,39.7,26.595744680851066,89.03368342867219
750130,female,24,173.0,71.0,22.0,103.0,40.5,23.722810651876106,89.03368342867219
750131,female,35,167.0,66.0,29.0,110.0,40.7,23.66524436157625,89.03368342867219
750132,female,46,156.0,59.0,25.0,106.0,40.5,24.243918474687703,87.53476116586509
750133,male,21,185.0,85.0,22.0,103.0,40.9,24.835646457268076,89.03368342867219
750134,male,64,182.0,91.0,14.0,87.0,39.8,27.47252747252747,89.03368342867219
750135,female,37,174.0,72.0,21.0,95.0,40.6,23.781212841854934,89.03368342867219
750136,male,30,186.0,81.0,5.0,88.0,38.9,23.413111342351716,87.53476116586509
750137,female,59,162.0,65.0,18.0,107.0,40.3,24.76756591982929,89.03368342867219
750138,female,20,161.0,60.0,13.0,88.0,39.8,23.147255121330193,87.53476116586509
750139,male,29,180.0,75.0,14.0,101.0,40.4,23.148148148148145,87.53476116586509
750140,female,20,172.0,71.0,5.0,87.0,39.6,23.99945916711736,87.53476116586509
750141,female,24,162.0,59.0,4.0,88.0,38.9,22.481329065691202,87.53476116586509
750142,male,27,169.0,70.0,16.0,95.0,40.3,24.508945765204302,89.03368342867219
750143,male,20,176.0,78.0,3.0,89.0,38.6,25.180785123966942,89.03368342867219
750144,female,62,186.0,85.0,14.0,99.0,40.0,24.56931437160365,89.03368342867219
750145,female,32,153.0,53.0,7.0,92.0,39.8,22.64086462471699,87.53476116586509
750146,female,50,165.0,64.0,2.0,83.0,37.8,23.507805325987146,87.53476116586509
750147,female,22,170.0,66.0,2.0,75.0,38.1,22.837370242214536,87.53476116586509
750148,male,68,185.0,88.0,12.0,91.0,40.1,25.712198685171657,87.53476116586509
750149,male,22,196.0,92.0,19.0,94.0,40.7,23.94835485214494,87.53476116586509
750150,male,43,183.0,82.0,2.0,83.0,37.9,24.48565200513601,89.03368342867219
750151,female,35,168.0,63.0,13.0,99.0,40.3,22.321428571428577,89.03368342867219
750152,female,22,173.0,68.0,3.0,83.0,38.8,22.720438370810918,87.53476116586509
750153,female,37,182.0,72.0,12.0,93.0,40.0,21.736505252988767,89.03368342867219
750154,male,20,166.0,66.0,28.0,108.0,40.6,23.95122659311947,87.53476116586509
750155,male,29,179.0,83.0,7.0,93.0,39.4,25.90431010268094,89.03368342867219
750156,female,47,174.0,75.0,27.0,98.0,40.8,24.772096710265558,89.03368342867219
750157,female,26,190.0,79.0,13.0,104.0,40.4,21.883656509695292,87.53476116586509
750158,female,52,161.0,62.0,12.0,82.0,40.2,23.9188302920412,87.53476116586509
750159,male,30,181.0,81.0,8.0,85.0,39.6,24.724520008546747,89.03368342867219
750160,female,32,167.0,62.0,6.0,85.0,39.1,22.230987127541326,87.53476116586509
750161,male,20,179.0,77.0,9.0,90.0,39.8,24.031709372366656,87.53476116586509
750162,female,25,172.0,63.0,23.0,96.0,40.6,21.29529475392104,87.53476116586509
750163,female,25,162.0,64.0,15.0,96.0,39.8,24.38652644413961,89.03368342867219
750164,male,42,194.0,98.0,14.0,96.0,40.2,26.03889892655968,87.53476116586509
750165,male,21,192.0,90.0,25.0,98.0,40.7,24.4140625,89.03368342867219
750166,female,34,171.0,72.0,8.0,95.0,39.6,24.622960911049557,87.53476116586509
750167,male,64,181.0,88.0,30.0,107.0,41.1,26.861206922865602,87.53476116586509
750168,female,44,177.0,72.0,7.0,87.0,39.2,22.981901752370007,89.03368342867219
750169,female,48,158.0,54.0,11.0,91.0,40.0,21.63114885435026,87.53476116586509
750170,male,62,177.0,79.0,8.0,90.0,39.7,25.2162533116282,87.53476116586509
750171,male,30,187.0,85.0,21.0,107.0,40.5,24.307243558580453,87.53476116586509
750172,female,28,181.0,74.0,23.0,104.0,40.8,22.587833094227893,89.03368342867219
750173,female,26,164.0,61.0,8.0,89.0,39.5,22.679952409280194,89.03368342867219
750174,male,36,179.0,84.0,13.0,89.0,39.5,26.216410224399986,87.53476116586509
750175,female,55,166.0,65.0,24.0,92.0,40.6,23.588329220496444,89.03368342867219
750176,male,25,187.0,87.0,27.0,104.0,40.7,24.879178701135288,89.03368342867219
750177,male,33,187.0,87.0,14.0,91.0,40.3,24.879178701135288,87.53476116586509
750178,female,30,158.0,56.0,12.0,93.0,40.0,22.432302515622492,89.03368342867219
750179,male,45,192.0,90.0,26.0,108.0,41.0,24.4140625,89.03368342867219
750180,female,40,172.0,75.0,7.0,91.0,39.5,25.351541373715524,89.03368342867219
750181,female,56,154.0,56.0,10.0,86.0,39.7,23.61275088547816,89.03368342867219
750182,male,45,174.0,77.0,15.0,92.0,40.4,25.43268595587264,87.53476116586509
750183,female,48,160.0,59.0,22.0,97.0,40.3,23.046874999999996,87.53476116586509
750184,female,32,155.0,54.0,14.0,93.0,40.5,22.476586888657646,87.53476116586509
750185,male,44,199.0,91.0,16.0,94.0,40.6,22.979217696522813,87.53476116586509
750186,female,22,152.0,51.0,28.0,102.0,40.7,22.07409972299169,87.53476116586509
750187,female,24,153.0,50.0,5.0,81.0,39.4,21.35930624973301,87.53476116586509
750188,female,26,163.0,59.0,7.0,81.0,39.6,22.20633068613798,87.53476116586509
750189,male,48,175.0,75.0,21.0,106.0,40.6,24.489795918367346,89.03368342867219
750190,male,21,174.0,74.0,13.0,98.0,40.1,24.441802087462015,89.03368342867219
750191,female,26,163.0,66.0,17.0,90.0,40.1,24.840980089578082,87.53476116586509
750192,female,21,165.0,67.0,23.0,96.0,40.8,24.609733700642796,89.03368342867219
750193,male,22,177.0,75.0,14.0,96.0,40.5,23.93948099205209,87.53476116586509
750194,female,45,187.0,86.0,20.0,103.0,40.3,24.59321112985787,89.03368342867219
750195,male,36,193.0,97.0,23.0,105.0,40.7,26.040967542752828,89.03368342867219
750196,female,23,168.0,67.0,16.0,98.0,40.3,23.738662131519277,87.53476116586509
750197,male,28,193.0,88.0,11.0,99.0,40.0,23.624795296518027,87.53476116586509
750198,female,41,159.0,56.0,25.0,100.0,40.7,22.151022507021082,89.03368342867219
750199,male,28,173.0,72.0,7.0,91.0,39.6,24.0569347455645,89.03368342867219
750200,male,51,193.0,94.0,14.0,96.0,40.1,25.235576794007894,89.03368342867219
750201,male,61,190.0,99.0,30.0,109.0,40.9,27.423822714681442,87.53476116586509
750202,female,66,159.0,58.0,7.0,86.0,39.6,22.942130453700404,89.03368342867219
750203,male,69,192.0,93.0,29.0,113.0,40.8,25.227864583333336,89.03368342867219
750204,male,25,185.0,79.0,7.0,86.0,39.3,23.08254200146092,87.53476116586509
750205,female,30,164.0,57.0,30.0,114.0,40.6,21.192742415229034,87.53476116586509
750206,female,30,164.0,64.0,19.0,95.0,40.7,23.795359904818564,87.53476116586509
750207,female,50,174.0,76.0,11.0,96.0,39.8,25.102391333069097,87.53476116586509
750208,female,41,161.0,61.0,4.0,81.0,38.8,23.533042706685695,87.53476116586509
750209,male,48,187.0,90.0,15.0,94.0,40.4,25.737081414967538,89.03368342867219
750210,male,41,184.0,81.0,27.0,112.0,40.7,23.92485822306238,87.53476116586509
750211,female,40,162.0,60.0,14.0,91.0,40.4,22.86236854138088,87.53476116586509
750212,female,56,163.0,66.0,5.0,87.0,39.3,24.840980089578082,87.53476116586509
750213,female,59,186.0,78.0,4.0,87.0,38.7,22.54595907041276,89.03368342867219
750214,female,54,157.0,58.0,17.0,95.0,40.4,23.53036634346221,87.53476116586509
750215,male,56,178.0,81.0,7.0,86.0,39.6,25.5649539199596,89.03368342867219
750216,male,24,182.0,86.0,11.0,92.0,40.3,25.963047941069917,89.03368342867219
750217,female,38,156.0,55.0,6.0,83.0,39.0,22.600262984878366,87.53476116586509
750218,female,50,155.0,52.0,23.0,102.0,40.4,21.64412070759625,89.03368342867219
750219,female,31,157.0,56.0,7.0,87.0,39.5,22.7189744005842,87.53476116586509
750220,male,30,167.0,69.0,11.0,91.0,39.9,24.740937287102444,87.53476116586509
750221,female,34,161.0,62.0,13.0,99.0,40.2,23.9188302920412,89.03368342867219
750222,male,63,194.0,105.0,14.0,93.0,40.3,27.8988202784568,87.53476116586509
750223,male,59,185.0,89.0,2.0,79.0,38.2,26.004382761139514,87.53476116586509
750224,female,54,170.0,67.0,14.0,94.0,40.4,23.18339100346021,89.03368342867219
750225,female,38,169.0,68.0,21.0,101.0,40.6,23.80869017191275,89.03368342867219
750226,male,40,187.0,88.0,4.0,88.0,39.0,25.165146272412706,87.53476116586509
750227,female,64,163.0,63.0,14.0,99.0,40.0,23.711844630960897,87.53476116586509
750228,male,50,191.0,91.0,6.0,88.0,39.6,24.94449165318933,87.53476116586509
750229,male,44,174.0,76.0,26.0,112.0,40.8,25.102391333069097,89.03368342867219
750230,male,69,192.0,95.0,2.0,76.0,38.2,25.770399305555557,87.53476116586509
750231,female,49,157.0,59.0,2.0,79.0,38.4,23.93606231490121,89.03368342867219
750232,female,36,159.0,62.0,22.0,106.0,40.7,24.524346347059055,89.03368342867219
750233,female,60,160.0,60.0,13.0,95.0,40.0,23.437499999999996,89.03368342867219
750234,male,45,202.0,111.0,3.0,91.0,38.6,27.203215371042056,87.53476116586509
750235,female,24,170.0,67.0,25.0,108.0,40.7,23.18339100346021,87.53476116586509
750236,male,26,194.0,91.0,5.0,88.0,39.0,24.178977574662557,89.03368342867219
750237,female,40,151.0,54.0,18.0,90.0,40.1,23.683171790710933,87.53476116586509
750238,male,20,162.0,70.0,14.0,99.0,40.1,26.672763298277697,89.03368342867219
750239,male,62,172.0,75.0,19.0,97.0,40.4,25.351541373715524,87.53476116586509
750240,female,64,162.0,58.0,2.0,79.0,38.3,22.10028959000152,87.53476116586509
750241,female,24,168.0,67.0,7.0,93.0,39.1,23.738662131519277,87.53476116586509
750242,female,60,156.0,56.0,6.0,83.0,39.2,23.011176857330703,87.53476116586509
750243,female,68,172.0,72.0,5.0,82.0,38.8,24.337479718766904,89.03368342867219
750244,female,46,174.0,73.0,26.0,104.0,40.6,24.111507464658473,87.53476116586509
750245,female,39,166.0,63.0,20.0,93.0,40.4,22.8625344752504,87.53476116586509
750246,male,40,189.0,91.0,14.0,103.0,40.0,25.475210660395845,87.53476116586509
750247,male,74,188.0,96.0,8.0,87.0,39.6,27.16161158895428,87.53476116586509
750248,male,29,182.0,85.0,13.0,91.0,40.2,25.661152034778407,87.53476116586509
750249,female,21,184.0,72.0,17.0,102.0,40.1,21.266540642722116,87.53476116586509
750250,male,74,193.0,98.0,8.0,86.0,39.6,26.309431125667803,89.03368342867219
750251,male,61,176.0,87.0,18.0,94.0,40.2,28.08626033057851,89.03368342867219
750252,female,55,174.0,74.0,25.0,107.0,40.6,24.441802087462015,89.03368342867219
750253,male,28,188.0,92.0,3.0,89.0,38.6,26.029877772747852,89.03368342867219
750254,female,26,159.0,63.0,6.0,80.0,39.3,24.919900320398717,87.53476116586509
750255,male,21,172.0,71.0,5.0,90.0,38.6,23.99945916711736,87.53476116586509
750256,male,29,187.0,87.0,24.0,98.0,40.7,24.879178701135288,87.53476116586509
750257,female,61,174.0,73.0,21.0,104.0,40.9,24.111507464658473,87.53476116586509
750258,female,37,161.0,62.0,9.0,81.0,39.8,23.9188302920412,89.03368342867219
750259,male,34,190.0,97.0,26.0,115.0,40.7,26.869806094182827,89.03368342867219
750260,female,34,157.0,60.0,25.0,102.0,40.5,24.341758286340216,87.53476116586509
750261,male,66,163.0,73.0,8.0,87.0,39.5,27.475629493018182,87.53476116586509
750262,male,50,193.0,97.0,4.0,87.0,39.0,26.040967542752828,87.53476116586509
750263,male,76,184.0,84.0,7.0,88.0,39.1,24.8109640831758,89.03368342867219
750264,male,50,179.0,83.0,26.0,108.0,40.7,25.90431010268094,87.53476116586509
750265,female,20,164.0,61.0,11.0,91.0,40.1,22.679952409280194,89.03368342867219
750266,male,32,186.0,85.0,8.0,87.0,39.6,24.56931437160365,89.03368342867219
750267,male,38,175.0,79.0,4.0,78.0,38.9,25.79591836734694,89.03368342867219
750268,female,28,170.0,67.0,18.0,93.0,40.3,23.18339100346021,89.03368342867219
750269,female,23,171.0,61.0,3.0,85.0,38.5,20.86111966075032,87.53476116586509
750270,male,54,195.0,87.0,17.0,106.0,39.9,22.87968441814596,87.53476116586509
750271,female,60,169.0,70.0,10.0,98.0,39.7,24.508945765204302,89.03368342867219
750272,female,31,164.0,67.0,6.0,84.0,39.2,24.910767400356935,87.53476116586509
750273,male,47,189.0,89.0,27.0,108.0,40.8,24.915315920606925,87.53476116586509
750274,female,54,160.0,56.0,24.0,105.0,40.6,21.874999999999996,89.03368342867219
750275,female,77,169.0,72.0,29.0,118.0,41.0,25.209201358495854,87.53476116586509
750276,female,56,179.0,74.0,5.0,89.0,39.1,23.095409007209515,89.03368342867219
750277,male,25,176.0,69.0,28.0,111.0,40.9,22.275309917355372,87.53476116586509
750278,female,38,169.0,65.0,13.0,94.0,40.3,22.758306781975424,87.53476116586509
750279,male,31,184.0,78.0,19.0,98.0,40.3,23.03875236294896,87.53476116586509
750280,female,52,152.0,54.0,14.0,101.0,40.1,23.372576177285318,89.03368342867219
750281,female,57,151.0,52.0,7.0,90.0,39.1,22.806017279943863,89.03368342867219
750282,female,63,163.0,60.0,14.0,105.0,40.2,22.582709172343712,87.53476116586509
750283,female,21,182.0,77.0,18.0,104.0,40.7,23.24598478444632,89.03368342867219
750284,male,21,192.0,95.0,14.0,93.0,40.1,25.770399305555557,89.03368342867219
750285,female,33,156.0,59.0,12.0,91.0,40.0,24.243918474687703,89.03368342867219
750286,female,24,160.0,59.0,18.0,96.0,40.3,23.046874999999996,89.03368342867219
750287,female,55,163.0,62.0,19.0,94.0,40.6,23.335466144755166,89.03368342867219
750288,male,26,178.0,81.0,4.0,85.0,38.6,25.5649539199596,87.53476116586509
750289,female,40,160.0,59.0,25.0,103.0,40.6,23.046874999999996,89.03368342867219
750290,female,47,166.0,66.0,7.0,93.0,39.5,23.95122659311947,87.53476116586509
750291,male,37,191.0,88.0,16.0,100.0,40.4,24.12214577451276,89.03368342867219
750292,female,51,161.0,61.0,13.0,95.0,40.1,23.533042706685695,89.03368342867219
750293,male,37,184.0,88.0,10.0,95.0,39.6,25.99243856332703,89.03368342867219
750294,male,25,182.0,85.0,26.0,112.0,40.9,25.661152034778407,89.03368342867219
750295,female,63,176.0,85.0,12.0,95.0,40.5,27.44059917355372,89.03368342867219
750296,male,61,182.0,92.0,30.0,110.0,41.2,27.77442337881898,89.03368342867219
750297,female,44,149.0,54.0,21.0,92.0,40.7,24.32322868339264,89.03368342867219
750298,female,43,181.0,72.0,16.0,91.0,40.5,21.97735111870822,89.03368342867219
750299,female,51,183.0,75.0,16.0,96.0,40.3,22.395413419331717,87.53476116586509
750300,male,34,177.0,78.0,20.0,106.0,40.7,24.897060231734173,89.03368342867219
750301,female,32,154.0,53.0,22.0,101.0,40.5,22.34778208804183,87.53476116586509
750302,female,50,174.0,73.0,24.0,100.0,40.8,24.111507464658473,87.53476116586509
750303,male,25,166.0,68.0,11.0,82.0,39.8,24.677021338365513,87.53476116586509
750304,female,44,166.0,63.0,22.0,101.0,40.6,22.8625344752504,89.03368342867219
750305,female,34,162.0,60.0,23.0,99.0,40.8,22.86236854138088,89.03368342867219
750306,male,26,196.0,101.0,14.0,85.0,40.1,26.29112869637651,87.53476116586509
750307,female,30,168.0,65.0,18.0,99.0,40.2,23.030045351473927,87.53476116586509
750308,male,51,182.0,87.0,29.0,112.0,41.0,26.26494384736143,87.53476116586509
750309,male,61,187.0,92.0,10.0,88.0,39.8,26.309016557522373,87.53476116586509
750310,female,35,167.0,66.0,26.0,103.0,40.7,23.66524436157625,89.03368342867219
750311,female,22,157.0,61.0,4.0,84.0,38.9,24.747454257779218,87.53476116586509
750312,female,64,159.0,59.0,18.0,109.0,40.5,23.337684427040067,87.53476116586509
750313,male,41,176.0,76.0,20.0,100.0,40.7,24.535123966942148,89.03368342867219
750314,female,20,155.0,58.0,26.0,103.0,40.7,24.141519250780433,87.53476116586509
750315,female,46,163.0,61.0,29.0,109.0,40.8,22.95908765854944,89.03368342867219
750316,male,64,197.0,102.0,8.0,83.0,39.4,26.282563322940554,89.03368342867219
750317,female,31,165.0,66.0,6.0,83.0,39.2,24.242424242424246,87.53476116586509
750318,female,39,178.0,74.0,26.0,105.0,40.9,23.355636914530994,89.03368342867219
750319,male,21,181.0,79.0,21.0,103.0,40.6,24.114038033027075,89.03368342867219
750320,female,21,167.0,66.0,11.0,88.0,40.0,23.66524436157625,89.03368342867219
750321,female,50,157.0,59.0,8.0,89.0,39.7,23.93606231490121,89.03368342867219
750322,female,63,153.0,60.0,14.0,105.0,40.2,25.63116749967961,89.03368342867219
